first_name,last_name,email,address,phone_number,course_id,marks,grade
Michael,Taylor,sanchezcindy@example.org,"26495 Angela Way Apt. 280, New James, SD 00857",6698304369,data202,93,A
Evelyn,Anthony,wsmith@example.net,"92071 Patricia Path, North Katherine, MH 17952",7291219045,data200,93,A
Sally,Perez,yolandaprice@example.net,"263 Parker Corner Suite 934, West Mary, KY 47865",9915624249,data200,93,A
Allison,Lam,annettedavidson@example.com,"5490 Brittany Motorway Apt. 938, West Anna, VT 71436",9273430632,data201,92,A
Christina,Contreras,chloe51@example.com,"09540 Simpson Points, Gutierrezfort, MT 04644",7669416545,data200,92,A
Sean,Pham,christinamcconnell@example.com,"4483 Pamela Mountain Suite 528, Julieville, CA 12173",9016913547,data228,92,A
Julia,Walker,cynthiamiller@example.net,"191 Adam Drive, Jimville, AZ 22118",6616614798,data201,92,A
Mary,Lawson,john48@example.org,"547 Hutchinson Pass, South Melissatown, MH 48244",8740488009,data255,92,A
Mark,Sanders,melissa33@example.com,"5490 Tran Circle, Bakerborough, FL 85908",6092076118,data245,92,A
Denise,Peterson,msmall@example.org,"8148 Curry Views Suite 364, Georgeburgh, MN 81374",9804430986,data202,92,A
Karen,Jones,rodneyharmon@example.org,"594 Kevin Extensions, West Brianbury, TN 26432",7701231022,data200,92,A
Cynthia,Hall,rosedavid@example.com,"84645 Deborah Ridge Suite 309, South Peter, HI 56300",6596413407,data200,92,A
Ronald,Andrews,smithjames@example.com,"6388 Valencia Gateway Suite 257, North Markburgh, NV 77432",9215788237,data202,92,A
Robert,Krueger,vbrown@example.org,"60368 Abigail Parks, Davidside, DE 54365",8389322301,data245,92,A
Carrie,Turner,adamssherry@example.net,"81318 Julia Road Suite 406, South Curtis, NJ 41428",8446246803,data200,91,A
Cheyenne,Shannon,bmcbride@example.com,"4881 Casey Crossroad, Allisonbury, ID 36090",8600106751,data245,91,A
Eric,Miller,brooke23@example.org,"321 Jennifer Trafficway, Shortshire, IA 18596",9652779053,data226,91,A
Darlene,Hickman,chankenneth@example.net,"481 Wright Falls Suite 991, East Rachel, IL 00583",8902716372,data228,91,A
Jennifer,Jones,eduardoestes@example.org,"59159 Rice Pass, Nguyenfurt, WY 98603",8184587972,data220,91,A
Tristan,Fox,fuentesderrick@example.org,"6468 Dale Points Apt. 159, Lake Andrewport, WY 63265",9183684444,data220,91,A
Shannon,Johnson,michelledavis@example.com,"69114 Mcbride Union, Anitaview, NM 52337",6340365604,data228,91,A
Lindsey,Young,paulpratt@example.com,"113 Nicholas Groves Suite 412, Sheribury, DE 00853",9647745456,data220,91,A
Veronica,Davis,rachelcampos@example.org,"USNS Harris, FPO AP 80872",7940838948,data255,91,A
Danielle,Foster,samuel26@example.com,"803 Hardy Harbors Apt. 897, Davidhaven, UT 65614",7450879097,data230,91,A
Deborah,Powell,susan93@example.net,"13777 Pena View Apt. 338, Hinesside, ME 90199",6299072758,data228,91,A
Michelle,Jones,angel47@example.net,"11793 Matthew Divide Suite 826, Aliciaport, NV 32287",6044780154,data202,90,A
Geoffrey,Bowen,campbellmichelle@example.org,"0269 Gregory Crossroad, Elizabethfurt, ND 65303",8369554806,data226,90,A
Charles,Mccarthy,fowlerkimberly@example.com,"7984 Jonathon Roads, Pattersonview, PR 02446",7272376090,data255,90,A
Angel,Black,matthewneal@example.com,"54733 Smith Spurs Suite 464, Thomasburgh, MD 48143",6065392146,data245,90,A
Linda,Evans,riverasarah@example.net,"213 Brown Harbor, Port Matthewville, MN 03404",6403709860,data226,90,A
Christina,Green,uortiz@example.com,"USNV Mcclain, FPO AA 72368",9128398401,data220,90,A
Melissa,Delgado,beth45@example.org,"117 Weaver Centers, Judithmouth, ID 37582",9665526305,data228,89,B
Victoria,Levine,butlerwilliam@example.net,"662 Moore Springs Apt. 720, Desireehaven, NJ 80565",9660301306,data245,89,B
William,Rose,desiree98@example.net,"431 Ashley Views, West Briantown, WV 94153",7498152953,data245,89,B
Peter,Morgan,harperjohn@example.org,"28182 Michael Forges, Ericastad, LA 54368",6883241015,data202,89,B
Jeremiah,Olsen,leegregory@example.com,"2195 Phillips Shoal Suite 599, Robertview, KY 71939",6337469978,data200,89,B
Samantha,Garza,nicole76@example.org,"238 Lisa Loop, East Victoria, MP 57764",9359174902,data201,89,B
David,Proctor,xscott@example.org,"5351 Baird Spurs Apt. 482, West Douglasfurt, WY 47531",9880946759,data202,89,B
Jessica,Price,bergmarie@example.net,"318 Davis Shore, Jamesshire, DC 20700",6389322775,data245,88,B
Albert,Smith,courtney74@example.net,"6657 Campbell Ranch, South Emilyberg, DE 01239",9546181015,data200,88,B
Lynn,Baker,kknapp@example.com,"8210 Beverly Dale, Garyview, CO 99885",7385378696,data200,88,B
Sandra,Kelly,nfreeman@example.net,"30344 Holmes Village, Watkinschester, PA 55120",8013481521,data200,88,B
Michael,Bradshaw,randolphpaula@example.net,"9272 Young Divide Suite 852, Williamsmouth, MH 07295",8695131085,data200,88,B
Allison,Watson,rcross@example.org,"904 Thompson Tunnel Apt. 077, New Rhonda, HI 92880",8184601690,data230,88,B
Kyle,Macias,roberthughes@example.net,"07938 Massey Place, Lindsayhaven, FL 63879",9119910149,data245,88,B
David,Johnson,ybryant@example.com,"416 Emily Lodge, Jeffreyside, VI 83972",9097120230,data228,88,B
Anthony,Le,bishopapril@example.org,"93085 Gilbert Knoll Apt. 947, Owensside, SD 75903",8136927907,data245,87,B
Steve,Scott,blee@example.com,"0559 Morrison Harbors, Suttonport, NM 09655",9133882471,data255,87,B
Nicole,Love,brendahurst@example.org,"853 Wise Keys, Lake Amyshire, NV 29846",8426708519,data202,87,B
Maxwell,Avila,cjohnson@example.com,"PSC 1299, Box 6214, APO AP 69486",9373213148,data228,87,B
Scott,Jones,goodmanjamie@example.net,"695 Brown Shoal Suite 440, Johnsonstad, UT 31090",8389960779,data228,87,B
Michael,Myers,joseph44@example.net,"2390 Stephanie Fork Apt. 729, North Jenniferborough, TX 83960",6759515454,data226,87,B
Cindy,Collins,nvillanueva@example.org,"8532 Garcia Dale, Martinezview, NJ 60678",9795557828,data228,87,B
Andrew,Williams,thomasashley@example.com,"0857 Heidi Cape, Dillonport, KY 94133",8848622994,data201,87,B
Erin,Walker,amber75@example.net,"2718 Mark Shoal, Susanstad, WY 45567",9083915684,data226,86,B
Daniel,Perez,baileyernest@example.com,"35014 Moore Hollow Apt. 650, Schneiderberg, NH 61827",7691991674,data230,86,B
Christopher,Young,hmorton@example.net,"5777 Chambers Harbors, East Annmouth, MS 50386",6595790086,data202,86,B
Katherine,Munoz,kimberly95@example.com,"601 Matthew Brook Suite 919, West Katrinamouth, CT 43470",7393364650,data226,86,B
William,Simpson,lmiles@example.com,"80490 Arnold Avenue, Markchester, PW 37368",9153087041,data228,86,B
Regina,Davis,rachelvelasquez@example.com,"1724 Sullivan Springs Suite 123, North Stephanie, ND 44162",6137379142,data245,86,B
Ryan,Espinoza,russellcochran@example.net,"00777 Taylor Land, North Zachary, WI 70344",7094135735,data226,86,B
Kimberly,Brown,tara11@example.net,"2585 Brittany Rest, Robertland, MD 57608",6239186610,data202,86,B
Brian,Brown,ynash@example.org,"269 Amber Hills Suite 439, West Vickie, SC 22228",8260248699,data201,86,B
Jennifer,Bishop,chelsea03@example.org,"5872 Eric Crossing Apt. 080, New James, IL 03999",7596646936,data202,85,B
Dawn,Garcia,imcgrath@example.org,"1930 Krista Parkways, West Josephbury, CO 97341",8457325089,data220,85,B
James,Lopez,joseph06@example.com,"872 Robinson Loaf Apt. 710, West Michaelfurt, KY 85632",7163489888,data245,85,B
Henry,Berry,martinezlance@example.net,"297 Katherine Fork Suite 927, Harperburgh, PW 97946",8234712356,data230,85,B
Joshua,Franklin,melissa49@example.org,"20982 Jordan Bridge, Lake Larry, GU 47200",7034430055,data230,85,B
Gregory,Garrett,nburke@example.net,"23213 Chad Parkways Suite 184, Johnbury, OK 45947",8705230322,data230,85,B
Patricia,Rodriguez,andrew42@example.org,"503 Cohen Turnpike, Mooreville, MH 95009",6525485189,data200,84,B
Jamie,Smith,ashleyclark@example.net,"7930 Hayden Oval, Cathyfurt, NJ 30825",6742030347,data228,84,B
Jason,Fernandez,davilalarry@example.net,"45725 Ferrell Roads, West Thomas, PR 65657",8290878966,data202,84,B
Jacqueline,Clayton,fsanchez@example.net,"190 Cox Tunnel, Tinafort, ID 83841",6739453588,data230,84,B
Todd,Mitchell,howardkevin@example.com,"00167 Charles Courts Suite 496, Jamesview, DE 64426",7282244652,data200,84,B
Catherine,Chen,jesuslee@example.com,"738 Brian Ferry, Nicholastown, DE 17147",6007660496,data220,84,B
Joshua,Hill,johnsonmegan@example.com,"6282 Cross Turnpike Suite 615, Meganfort, MD 87419",9714021226,data230,84,B
Marissa,Hunter,kluna@example.org,"6341 Leslie Canyon Apt. 162, Sheppardborough, WV 77128",9012488577,data220,84,B
Jerry,Stevens,mcintoshpamela@example.net,"USNV Henry, FPO AE 15903",6705543838,data202,84,B
Matthew,Brown,melodyfisher@example.net,"502 Morales Shores Apt. 135, Michaelland, NH 70251",7816325864,data220,84,B
Nicole,Walls,montgomerylinda@example.com,"38915 Patricia Locks, Port Williamhaven, FL 66355",9436799288,data230,84,B
Jerry,Elliott,moodyapril@example.org,"08378 Sarah Dam Apt. 883, New Andrewview, NV 40070",9272142588,data201,84,B
Patricia,Deleon,nkidd@example.org,"PSC 3365, Box 6037, APO AP 18774",6270168759,data226,84,B
Cynthia,Bass,owilliams@example.com,"00447 Danny Overpass, Lunabury, WV 33833",9558316066,data202,84,B
Brenda,Hunter,sullivanhaley@example.net,"99531 Tamara Course, Derrickside, NV 44464",9822767017,data226,84,B
Daniel,Moore,amber34@example.com,"7915 Christian Island, Hansonstad, PR 26127",8179916965,data220,83,B
Benjamin,Oconnor,austin75@example.net,"8422 Turner View Apt. 882, Port Stacy, AK 99374",7195207475,data220,83,B
Kevin,Estrada,candice22@example.org,"953 Page Lodge Suite 218, New Tammy, PW 95898",8296519572,data226,83,B
Adam,Phillips,ecarter@example.net,"Unit 8347 Box 4074, DPO AE 62072",9937070077,data220,83,B
Joseph,Benton,jennifer12@example.com,"1696 Blanchard Valleys, Williamsborough, TX 82406",6752287834,data228,83,B
Sandra,Harper,jeremygarrett@example.com,"4735 Justin Freeway, New Jay, VI 09859",6986781701,data202,83,B
James,Campos,kaitlyn85@example.net,"574 Larsen View, West Jeremyland, SC 03652",6011685870,data202,83,B
Walter,Wright,nicolelewis@example.org,"7873 Brett Flat, West Margaretchester, AL 90327",9411146917,data230,83,B
Samantha,Collins,renee12@example.net,"15320 Diana Expressway Apt. 605, Jacksonchester, NC 91229",7190600777,data245,83,B
James,Murphy,brandonphillips@example.com,"444 Joshua Cape Apt. 091, Masonburgh, CA 02052",6329632198,data255,82,B
Julie,Daugherty,grossisabella@example.org,"9164 Carol Parks Suite 816, Michaelchester, MO 53866",9103252464,data202,82,B
Amanda,Ward,jcoleman@example.org,"342 Sloan Ways Suite 134, North Michelletown, LA 56740",9705059618,data228,82,B
Joseph,Weiss,jonesashlee@example.org,"310 Margaret Garden Suite 250, Port Crystalside, TN 19903",6757644736,data255,82,B
Robert,Garcia,paul09@example.net,"Unit 7425 Box 9874, DPO AP 38438",6240207935,data220,82,B
Michelle,Ramos,pgordon@example.net,"9130 Erickson Brooks Apt. 331, Eddiechester, GU 91566",8944827202,data220,82,B
Donald,Smith,schwartzmatthew@example.net,"USNS Anderson, FPO AP 76414",6971754830,data228,82,B
James,Williamson,westnicole@example.org,"0945 Glass Mission, New Paul, MA 38082",9097574488,data228,82,B
Kelli,Smith,brookemclaughlin@example.org,"693 Wilkins Extension, Moranport, MN 18619",6962715777,data255,81,B
Elizabeth,Miles,ghensley@example.net,"33704 James Route, East Matthewborough, OK 72037",6706550930,data201,81,B
Jimmy,Martinez,jerry44@example.com,"01026 Pamela Parkway Apt. 759, Lake Justinmouth, GA 27653",7566579781,data201,81,B
Tina,Anderson,kenneth86@example.org,"19844 Shah Hills Suite 227, Gregoryberg, MH 06937",6006751354,data201,81,B
Natalie,Barnes,leejames@example.org,"5121 Evans Hill Suite 286, Wallerbury, AK 76025",8853404315,data220,81,B
Benjamin,Blankenship,nicoleboone@example.com,"371 Alan Parks, Nelsonhaven, SD 16398",7881295922,data202,81,B
Leslie,Hill,petersonjonathan@example.com,"73223 Eugene Cliffs, North Natashafort, VI 09182",6353268389,data202,81,B
Kayla,Dominguez,qking@example.org,"297 Amber Estates, Elizabethberg, WV 20549",9627997218,data230,81,B
Melissa,Hill,shanna@example.org,"546 Robinson Meadow, East Meganton, NV 31518",6716147878,data245,81,B
Dustin,Donovan,xchurch@example.org,"4825 Wright Ports Apt. 157, East Erik, ME 87472",7398317839,data226,81,B
John,White,donna50@example.org,"714 Mora Hollow Suite 395, Port Taylor, KY 72540",7339857301,data201,80,B
Erin,Church,grubio@example.net,"648 John Burg Apt. 357, Staciefort, OK 59556",7799237850,data226,80,B
Richard,Aguilar,jacquelinesmith@example.net,"11392 Sheri Walks Apt. 526, Reidmouth, AZ 54057",8058684608,data220,80,B
Brandon,Williams,melinda69@example.org,"0404 Margaret Squares Suite 953, Jordanview, OH 04063",9641456967,data255,80,B
Robert,Nielsen,smithmegan@example.net,"193 Lauren Mountains Apt. 999, North Frank, MA 16857",6163725234,data245,80,B
Fernando,Hernandez,welchpaul@example.org,"Unit 4959 Box 5874, DPO AA 32842",6290227247,data245,80,B
Andrew,Foster,wheelerbrittany@example.org,"113 Carrie Corner Apt. 848, Kristaport, AS 81681",7366227098,data202,80,B
Sarah,Nelson,william86@example.net,"Unit 4263 Box 3078, DPO AE 44793",7777823899,data220,80,B
Carla,Arellano,wilsonkimberly@example.org,"576 Blake Falls, Port Anafort, KS 84215",8223594234,data228,80,B
Lisa,Riley,evansjose@example.net,"1196 Harris Springs, West Kyle, FL 59088",7478712794,data228,79,C
Kristin,Blair,heathmary@example.org,"9284 Brittany Route, North Jennifer, GU 52078",7314257451,data200,79,C
Renee,Shepard,hortonlynn@example.net,"1083 James Crescent, North Melanieland, RI 70040",6445460961,data228,79,C
Jacqueline,Boyd,joshuawilliams@example.org,"0207 Jenkins Forges Apt. 554, New Frank, NH 35522",9913331792,data228,79,C
Rebekah,Boyd,jprice@example.org,"814 Holland Cliffs Apt. 546, Johnsonberg, WI 97604",6471992120,data200,79,C
Margaret,Woods,kelly70@example.org,"85340 Lowery Loop Suite 020, Bentonborough, LA 65991",8426451114,data200,79,C
Alexander,Hardy,kristen73@example.org,"2457 Cynthia Station, North Billy, AR 54459",7110317634,data228,79,C
Maxwell,Dudley,matthewmiller@example.org,"03664 Aaron Pass Suite 307, South Christopher, NV 45581",6162528024,data255,79,C
David,Ruiz,michaelcook@example.net,"68968 Morgan Islands, Guzmanside, MO 11016",9263762283,data202,79,C
Paul,Chang,natasha99@example.com,"895 Javier Drive Apt. 869, Kerrhaven, NH 24057",7154431947,data201,79,C
Ronald,Barry,slee@example.net,"1573 Walker Forks, Lake Julieland, MN 78592",9299587889,data200,79,C
Benjamin,Wong,tharris@example.com,"777 Warren Summit Suite 811, Michaelview, NH 37636",7292098784,data226,79,C
Vincent,Brown,thernandez@example.net,"5113 Perry Turnpike Suite 593, Port Antonio, TN 16041",6101222319,data200,79,C
Amanda,Patterson,welchnathan@example.com,"9736 Chad Manors Suite 273, Huertamouth, NE 95113",8583141240,data255,79,C
Yolanda,Hansen,davidowen@example.net,"66080 Hannah Harbor, Lopezshire, MA 40582",8190085532,data255,78,C
Robert,Chase,hmartinez@example.org,"7516 Cain Vista Apt. 781, Scottborough, TX 83251",8328875729,data200,78,C
David,Lin,juan67@example.com,"10565 Michelle Junctions Suite 821, Lake Ronaldfort, NJ 83956",8212238582,data202,78,C
Margaret,Smith,kanejames@example.org,"67891 Arroyo Spring, Brandonmouth, PR 30672",9951328850,data202,78,C
Matthew,Rosales,kenneth75@example.org,"0330 Amy Rue Suite 543, Sarahtown, MA 20185",9653907662,data228,78,C
Rodney,Stevenson,robertsashley@example.org,"90406 Jerry Drives, East William, ME 44895",9451493451,data226,78,C
John,Crawford,samantha31@example.com,"10872 Simmons Dale Apt. 451, East Monicamouth, AK 06538",6448535254,data200,78,C
Tyler,Gonzalez,sara23@example.com,"9999 Melanie Terrace Suite 132, East Aaronfort, VA 17921",7594904483,data202,78,C
Angela,Warner,turnerrachel@example.org,"6145 Andrew Spurs Apt. 838, Jeffreyborough, ME 32194",7630485691,data245,78,C
Lisa,Barrett,vleblanc@example.net,"Unit 2303 Box 8960, DPO AP 36039",6744117323,data226,78,C
Nathaniel,Rosario,ashley22@example.net,"7615 Green Drive, Bellville, AK 86093",6653643067,data201,77,C
Daniel,Thomas,brittany56@example.net,"8880 Andre Drives Suite 447, Hansenbury, WA 33367",8316961795,data228,77,C
Lauren,Leonard,erin70@example.net,"7845 Nicole Pines Suite 558, South Geraldstad, NV 81352",9922563657,data230,77,C
Tara,Stevens,evan23@example.org,"7089 Ramos Meadow, Port Thomas, MN 74441",6777118545,data230,77,C
Lauren,Young,ggonzales@example.org,"45273 Rebekah Greens, Port Ebony, ID 08507",6209732760,data245,77,C
Kelly,Mejia,jonathanaguilar@example.net,"75776 Sarah Hills Suite 231, Salasstad, WA 02346",7064428253,data230,77,C
Deborah,Phillips,kyle52@example.net,"002 Hayes Isle, Port Sharon, AK 61773",7195653305,data245,77,C
Jesus,Morales,lawrencekimberly@example.com,"01425 Jessica Valley Suite 977, Noahville, CA 55869",8536649882,data228,77,C
Patricia,Johnston,mendozacarl@example.com,"4143 Edwin Crest, South Maria, MT 46361",7702294622,data245,77,C
Kevin,Mcclain,michael34@example.net,"9890 Mariah Expressway, Michaelbury, IL 19990",9794924096,data226,77,C
Julie,Morgan,xdixon@example.com,"2771 Laurie View Suite 733, Jeffreymouth, WI 90401",8576503966,data255,77,C
Alan,Quinn,barnettzachary@example.net,"65664 Hampton Harbor, Adamsbury, MH 29202",7999914830,data202,76,C
Elizabeth,Howard,burtonedward@example.com,"82571 Mark Spring, Miketown, AK 23795",7835708055,data255,76,C
Amber,Zimmerman,coconnell@example.com,"131 Torres Court, New Kayla, MH 87475",6460278495,data228,76,C
